,Correction,Forward,Successor,init
0,2,3,3,3
1,2,1,2,3
2,7,1,4,3
3,2,2,8,4
4,3,1,3,3
5,5,1,4,3
6,7,1,4,3
7,2,0,4,3
8,2,1,2,3
9,5,2,3,3
10,7,1,2,3
11,4,1,3,3
12,6,1,2,3
13,6,3,5,4
14,2,1,2,3
15,5,1,2,3
16,2,2,5,3
17,3,1,2,3
18,3,1,2,3
19,5,2,2,3
20,3,2,6,3
21,7,1,2,3
22,7,2,2,4
23,1,2,5,4
24,2,1,3,3
25,7,2,2,4
26,7,2,5,4
27,4,1,2,3
28,5,1,2,3
29,4,3,3,5
30,2,1,4,3
31,2,2,2,4
32,5,2,6,4
33,7,1,2,3
34,7,1,2,3
35,6,1,3,3
36,7,1,2,3
37,5,1,7,3
38,7,1,4,3
39,6,1,4,3
40,5,2,2,4
41,4,1,3,3
42,7,1,3,3
43,2,1,2,3
44,6,6,7,3
45,5,2,6,3
46,6,2,3,4
47,2,4,2,6
48,5,1,7,3
49,5,2,2,3
50,6,1,3,3
51,2,2,2,4
52,2,1,3,3
53,7,1,2,3
54,5,1,2,3
