,Correction,Forward,Successor,init
0,201,7,6,9
1,197,5,2,7
2,193,6,3,9
3,194,7,2,9
4,185,4,9,6
5,185,5,8,7
6,185,8,8,9
7,209,5,3,8
8,197,5,11,7
9,194,5,3,8
10,181,9,14,11
11,198,4,2,6
12,190,4,2,6
13,194,4,12,6
14,201,6,2,8
15,193,4,9,6
16,190,5,6,6
17,202,4,2,6
18,194,4,2,6
19,194,7,12,9
20,208,8,7,9
21,183,9,2,11
22,195,4,3,7
23,202,6,11,8
24,197,5,13,7
25,184,5,8,7
26,197,4,3,7
27,200,7,3,10
28,195,7,2,9
29,188,9,13,10
30,207,9,2,11
31,206,9,2,11
32,180,4,26,6
33,184,3,3,6
34,187,8,3,11
35,189,5,19,7
36,187,7,6,8
37,202,7,2,9
38,183,6,15,7
39,196,4,2,6
40,195,5,2,6
41,182,4,2,6
42,187,10,39,10
43,202,7,7,8
44,202,6,10,8
45,186,4,2,6
46,185,5,6,7
47,192,11,11,11
48,196,4,7,6
49,192,5,13,6
50,184,7,6,9
51,205,6,2,7
52,184,4,9,6
53,194,6,3,9
54,198,5,2,7
55,194,4,2,6
56,197,4,11,7
57,187,8,10,10
58,185,7,2,9
59,197,5,8,6
60,190,9,26,11
61,189,5,2,7
62,190,9,2,11
63,208,8,2,10
64,203,8,7,10
65,188,6,2,8
66,212,8,2,10
67,190,6,2,6
68,202,6,6,8
69,183,4,2,6
70,195,4,12,6
71,188,5,12,7
72,193,5,2,7
73,181,8,8,10
74,200,5,6,6
75,194,7,11,9
76,189,5,10,7
77,198,5,2,7
78,192,4,2,6
79,196,6,3,8
80,204,9,7,11
81,185,5,9,7
82,197,4,61,6
83,196,4,7,6
84,198,7,2,9
85,199,5,9,7
86,194,4,7,7
87,182,4,2,6
88,183,7,24,9
89,188,7,2,9
90,203,5,15,7
91,187,6,2,7
92,192,4,2,6
93,189,11,6,11
94,194,4,8,6
95,210,9,7,11
96,190,8,2,10
97,187,7,9,8
98,195,8,31,9
99,190,7,17,9
100,197,8,9,10
101,184,7,12,6
