,Correction,Forward,Successor,init
0,220,7,6,9
1,213,4,2,6
2,212,7,5,12
3,211,9,3,12
4,203,4,11,6
5,204,6,9,8
6,204,6,12,10
7,226,6,2,8
8,212,11,13,13
9,213,4,5,9
10,203,4,11,6
11,217,4,3,7
12,213,8,3,11
13,214,6,2,8
14,215,7,5,12
15,211,6,10,8
16,206,6,7,6
17,219,4,3,7
18,214,5,2,7
19,212,8,15,10
20,226,5,10,8
21,204,5,2,7
22,214,5,5,10
23,218,5,27,8
24,209,8,13,10
25,207,4,8,6
26,214,4,5,9
27,219,8,2,10
28,213,6,2,8
29,204,9,15,11
30,223,7,4,10
31,220,7,4,9
32,199,6,22,8
33,206,4,5,9
34,209,7,5,12
35,211,8,14,10
36,208,9,6,11
37,215,8,4,11
38,204,4,10,9
39,216,4,2,6
40,213,4,2,6
41,201,10,2,12
42,209,8,38,7
43,220,7,10,8
44,219,7,11,8
45,203,4,2,6
46,204,8,6,9
47,210,11,15,12
48,213,6,10,10
49,211,5,19,7
50,207,9,7,11
51,223,5,2,7
52,202,4,11,6
53,213,5,5,10
54,216,4,2,6
55,212,4,2,6
56,214,4,14,9
57,207,9,12,11
58,207,8,9,10
59,212,6,11,9
60,208,6,24,7
61,209,7,2,9
62,212,7,7,12
63,224,9,2,11
64,222,6,9,8
65,208,5,2,7
66,229,7,2,9
67,207,5,2,6
68,219,6,6,8
69,200,4,2,6
70,217,5,2,7
71,204,8,13,10
72,207,9,2,11
73,199,7,9,7
74,217,4,2,5
75,210,9,12,11
76,210,4,11,6
77,210,5,2,7
78,212,4,2,6
79,214,6,2,8
80,221,5,14,8
81,209,10,9,12
82,212,6,55,10
83,213,4,10,9
84,217,4,2,6
85,214,5,11,9
86,212,7,14,10
87,199,4,3,6
88,203,9,29,11
89,207,9,3,11
90,220,5,26,7
91,208,8,2,10
92,216,4,2,6
93,206,9,10,11
94,212,4,10,6
95,228,10,12,13
96,207,9,2,11
97,207,6,12,7
98,216,7,42,9
99,205,9,17,11
100,216,6,11,8
101,207,8,12,6
102,220,8,20,10
103,213,4,2,6
104,211,5,2,6
105,220,5,9,9
106,226,9,2,11
107,213,4,20,9
108,207,10,6,12
109,210,4,21,6
110,212,8,8,12
111,212,7,2,9
112,202,10,2,12
113,219,4,16,6
114,212,8,21,10
115,221,5,4,9
116,202,6,32,11
117,206,4,2,6
118,212,8,2,10
119,213,7,2,9
120,216,5,10,7
121,220,10,2,12
122,222,7,12,9
123,225,4,2,6
124,216,7,2,9
125,211,7,5,12
126,207,8,6,10
127,208,4,2,6
128,225,6,19,9
129,203,5,21,6
130,209,8,6,10
131,212,8,11,10
132,205,9,11,11
133,199,10,2,12
134,207,9,9,10
135,209,5,30,6
136,220,6,3,9
137,213,9,18,12
138,205,8,17,10
139,210,4,2,6
140,220,6,2,8
141,207,9,2,11
142,226,7,10,9
143,202,4,18,6
144,216,8,69,12
145,207,5,6,7
146,216,4,22,6
147,210,8,17,12
148,222,10,17,12
149,225,5,7,8
150,207,5,2,7
151,202,4,11,6
152,214,8,2,10
153,211,8,2,10
154,206,4,20,6
155,205,11,20,12
156,201,5,6,6
157,229,9,2,10
158,224,5,2,7
159,220,6,2,8
160,209,9,2,10
161,204,8,2,10
162,218,7,24,8
163,222,5,4,9
164,203,4,2,6
165,209,8,22,12
166,205,4,2,5
167,205,8,2,10
168,208,7,30,9
169,210,10,11,12
170,197,5,32,7
171,208,9,2,11
172,218,6,4,10
173,214,5,20,7
174,227,10,2,12
175,222,7,2,9
176,210,4,14,6
177,211,5,12,7
178,221,6,11,8
179,220,6,2,7
180,211,4,12,6
181,205,6,4,10
182,203,5,2,7
183,203,9,20,11
184,210,8,9,10
185,204,9,2,11
186,211,4,2,6
187,207,6,12,7
188,228,8,7,10
189,216,4,2,6
190,206,9,24,11
191,222,5,2,7
192,212,4,2,6
193,206,6,27,8
194,213,6,2,8
195,225,6,11,9
196,211,5,2,6
197,219,6,2,8
198,210,10,2,12
199,208,6,2,8
200,199,6,22,9
201,211,9,2,11
202,215,0,30,12
203,205,4,4,8
204,213,5,5,10
205,200,10,6,12
206,211,7,7,9
207,218,4,2,6
208,206,6,2,7
209,211,9,2,11
210,215,4,12,6
211,211,8,2,10
212,214,5,2,7
213,214,7,4,11
214,229,7,2,9
215,215,6,8,7
216,210,0,39,12
217,210,7,2,9
218,220,5,11,8
219,205,8,2,10
220,212,5,11,10
