,Correction,Forward,Successor,init
0,174,5,14,7
1,169,4,2,6
2,228,7,2,9
3,167,4,2,6
4,153,9,9,9
5,196,4,9,6
6,215,7,2,9
7,186,5,3,7
8,166,7,9,7
9,236,5,2,7
10,223,4,14,6
11,168,4,2,6
12,223,5,2,7
13,159,4,11,6
14,213,7,2,9
15,157,4,9,6
16,175,11,5,9
17,194,5,2,7
18,156,5,2,7
19,159,8,9,8
20,192,5,7,7
21,225,7,2,9
22,236,7,2,8
23,195,5,10,7
24,164,4,6,6
25,207,4,7,6
26,239,4,2,6
27,175,4,2,6
28,161,6,2,8
29,185,11,16,9
30,204,6,2,8
31,209,5,2,7
32,191,6,26,7
33,221,5,2,6
34,223,6,2,8
35,224,5,6,7
36,200,7,3,9
37,214,8,2,10
38,218,4,7,6
39,157,4,2,6
40,157,6,2,5
41,188,4,2,6
42,214,8,27,6
43,180,8,6,6
44,158,6,10,8
45,196,8,2,10
46,197,6,6,8
47,167,10,6,9
48,222,5,2,6
49,158,5,9,5
50,223,7,6,9
51,181,6,2,7
52,154,7,9,7
53,235,6,2,8
54,164,4,2,6
55,159,4,2,6
56,240,4,9,6
57,189,7,9,9
58,221,8,14,9
59,222,6,8,6
60,233,8,18,9
61,149,4,2,6
62,226,5,2,7
63,190,7,2,7
64,176,5,6,7
65,146,6,2,8
66,188,7,2,9
67,171,12,2,10
68,159,6,6,8
69,196,5,3,7
70,157,6,6,6
71,184,6,14,8
72,164,4,2,6
73,197,8,9,9
74,154,9,12,6
75,160,6,10,7
76,149,5,6,7
77,165,5,6,7
78,154,4,2,6
79,162,5,2,7
80,196,6,8,7
81,206,4,8,6
82,213,10,55,7
83,220,5,7,7
84,166,4,2,6
85,219,4,26,6
86,236,6,7,6
87,197,4,2,6
88,143,6,9,7
89,191,4,2,6
90,181,4,16,6
91,200,4,2,6
92,224,4,2,6
93,217,8,2,8
94,153,6,15,5
95,187,4,7,6
96,167,6,2,7
97,147,6,2,8
98,157,4,24,6
99,163,9,11,9
100,169,6,6,8
101,208,12,7,9
102,154,7,6,7
103,155,4,2,6
104,169,10,2,7
105,219,6,7,8
106,195,4,2,6
107,238,9,6,6
108,169,9,2,9
109,157,5,15,7
110,221,4,3,6
111,156,6,3,8
112,187,6,2,7
113,153,8,15,9
114,158,7,6,9
115,221,5,2,7
116,216,5,19,7
117,147,4,2,6
118,225,4,3,6
119,225,4,2,6
120,168,8,6,9
121,153,7,2,8
122,178,4,2,6
123,186,5,2,6
124,165,5,2,7
125,227,6,2,8
126,164,4,2,6
127,178,4,2,6
128,208,4,6,6
129,144,7,16,9
130,230,8,9,9
131,155,6,12,8
132,232,7,2,9
133,189,4,2,6
134,200,7,2,9
135,166,7,15,9
136,195,4,2,6
137,210,6,14,8
138,198,5,10,6
139,214,8,2,9
140,159,5,7,7
141,222,4,2,6
