,Correction,Forward,Successor,init
0,34,2,7,4
1,23,3,2,5
2,47,3,6,4
3,30,2,6,4
4,51,3,5,4
5,30,4,4,5
6,46,3,2,4
7,35,0,4,4
8,21,3,5,4
9,59,2,3,4
10,29,3,4,4
11,32,7,4,4
12,42,2,2,4
13,26,2,6,4
14,46,3,2,4
15,35,3,2,4
16,20,8,4,4
17,29,2,2,4
18,27,2,2,4
19,28,3,4,4
20,14,4,6,4
21,30,2,2,4
22,59,3,3,4
23,28,3,2,4
24,16,2,4,4
25,35,3,3,4
26,52,2,2,4
27,36,2,2,4
28,29,2,2,4
29,36,4,4,4
30,23,2,2,4
31,46,4,2,5
32,26,5,10,4
33,46,7,2,5
34,46,2,2,4
35,42,3,3,4
36,32,4,3,4
37,43,4,5,4
38,47,4,8,4
39,27,2,2,4
40,28,9,2,4
41,29,2,2,4
42,39,3,9,4
43,41,3,4,4
44,22,2,4,4
45,29,10,5,4
46,31,2,3,4
47,20,6,4,4
48,46,8,2,4
49,35,4,4,4
50,32,3,4,4
51,38,3,2,4
52,53,3,4,4
53,59,2,2,4
54,28,2,2,4
55,35,2,2,4
56,48,4,7,4
57,38,2,4,4
58,35,2,6,4
59,43,4,4,4
60,50,2,4,4
61,47,2,2,4
62,46,2,2,4
63,17,3,2,4
64,38,3,3,4
65,48,2,2,4
66,21,2,2,4
67,17,8,2,4
68,24,2,4,4
69,38,2,2,4
70,31,4,4,4
71,33,2,4,4
72,17,2,2,4
73,36,3,4,4
74,20,13,5,5
75,33,3,6,5
76,47,2,2,4
77,17,2,2,4
78,47,2,2,4
79,28,3,2,4
80,22,4,3,4
81,35,2,3,4
82,39,5,13,4
83,51,2,4,4
84,34,2,4,4
85,44,2,6,4
86,58,2,4,4
87,38,2,2,4
88,40,4,8,4
89,39,2,2,4
90,37,2,5,4
91,32,2,2,4
92,42,2,2,4
93,46,4,4,4
94,28,5,3,4
95,19,2,3,4
96,18,2,2,4
97,47,3,2,4
98,30,2,6,4
99,14,5,5,4
100,36,3,2,4
101,36,8,4,4
102,22,3,3,4
103,47,2,2,4
104,22,5,2,4
105,45,2,4,4
106,17,4,10,4
107,51,10,4,5
108,16,3,2,4
109,35,3,4,4
110,44,3,6,4
111,29,2,2,4
112,29,2,2,4
113,21,4,4,5
114,30,2,2,4
115,45,3,2,4
116,46,2,6,4
117,45,2,3,4
118,43,3,2,4
119,43,2,2,4
120,35,2,3,4
121,22,2,4,4
122,39,2,2,4
123,35,3,2,4
124,34,2,2,4
125,49,2,2,4
126,16,3,2,4
127,27,2,2,4
128,29,7,15,4
129,42,3,6,4
130,55,3,4,4
131,27,2,6,4
132,56,2,4,4
133,29,2,2,4
134,32,2,2,4
135,20,7,5,4
136,29,2,2,4
137,48,3,2,4
138,29,5,4,5
139,43,4,2,4
140,29,2,4,4
141,34,2,2,4
142,15,4,8,5
143,58,11,2,4
144,44,2,8,4
145,25,2,3,4
146,33,4,6,4
147,44,3,7,4
148,23,2,2,4
149,28,2,4,4
150,25,2,2,4
151,52,3,6,4
152,41,2,4,4
153,40,2,2,4
154,23,2,8,4
155,52,2,6,4
156,27,6,4,4
157,15,5,7,4
158,36,4,2,4
159,24,5,2,4
160,55,7,10,5
161,49,2,2,4
162,22,6,3,5
163,45,2,2,4
164,54,2,2,4
165,45,2,3,4
166,46,11,3,4
167,48,3,2,4
168,39,3,6,4
169,32,2,4,4
170,26,2,6,4
171,16,2,2,4
172,46,2,2,4
173,27,3,6,4
174,28,3,2,5
175,39,3,2,5
176,17,2,3,4
177,21,2,4,4
178,38,2,5,4
179,44,2,2,4
180,23,2,3,4
181,45,4,8,5
182,58,2,2,4
183,42,4,5,4
184,44,2,2,4
185,27,3,6,4
186,47,2,2,4
187,38,3,15,4
188,20,3,2,4
189,31,2,2,4
190,15,2,8,4
191,38,7,2,4
192,26,2,2,4
193,34,3,2,4
194,30,2,2,4
195,23,3,6,4
196,36,3,2,4
197,27,3,2,4
198,37,2,2,4
199,47,2,2,4
200,50,4,4,4
201,34,2,2,4
202,35,0,4,4
203,52,2,2,4
204,59,2,2,4
205,29,2,2,4
206,41,3,4,4
207,36,2,2,4
208,25,2,2,4
209,30,3,8,4
210,25,2,6,4
211,44,2,2,4
212,13,4,7,4
213,45,2,2,4
214,20,3,2,5
