,Correction,Forward,Successor,init
0,2,1,3,3
1,5,1,2,3
2,4,3,4,4
3,9,1,4,3
4,8,4,3,3
5,8,1,3,3
6,3,1,4,3
7,3,0,3,3
8,5,1,2,3
9,4,1,2,3
10,4,1,3,3
11,2,1,2,3
12,5,1,3,3
13,6,1,4,3
14,3,2,2,3
15,7,1,2,3
16,5,2,3,3
17,2,1,3,3
18,6,1,2,3
19,7,1,2,3
20,3,1,9,3
21,4,1,2,3
22,4,2,3,4
23,2,1,2,3
24,5,1,3,3
25,7,1,2,3
26,4,1,3,3
27,2,1,2,3
28,7,2,2,4
29,5,1,2,3
30,4,2,6,4
31,4,1,3,3
32,8,1,4,3
33,3,1,2,3
34,3,1,2,3
35,3,1,3,3
36,7,2,2,4
37,3,1,3,3
38,3,1,4,3
39,6,1,3,3
40,6,1,2,3
41,5,2,3,4
42,7,1,4,3
43,3,1,2,3
44,6,1,3,3
45,4,2,7,3
46,7,1,3,3
47,6,1,4,3
48,3,1,3,3
49,7,1,2,3
50,4,1,3,3
51,2,2,2,4
52,9,1,4,3
53,4,1,2,3
54,7,1,2,3
55,6,3,2,4
56,4,2,2,4
57,5,1,2,3
58,3,1,4,3
59,3,2,2,4
60,4,3,7,3
61,6,1,2,3
62,4,1,3,3
63,3,1,2,3
64,2,1,3,3
65,6,3,2,3
66,3,1,4,3
67,5,2,2,4
68,7,1,6,3
69,4,2,5,4
70,7,1,2,3
71,6,2,5,3
72,5,1,2,3
73,7,2,3,3
74,6,3,4,4
75,10,1,7,3
76,6,1,2,3
77,5,2,2,4
78,6,1,2,3
79,7,1,2,3
80,2,2,3,4
81,7,1,3,3
82,4,2,6,3
83,4,1,4,3
84,2,4,5,3
85,1,2,7,3
86,5,1,4,3
87,7,1,2,3
88,8,1,5,3
89,5,2,2,4
90,3,1,3,3
91,7,1,2,3
92,4,1,3,3
93,3,1,5,3
94,7,1,4,3
