,Correction,Forward,Successor,init
0,4,2,4,4
1,6,2,2,4
2,8,2,5,4
3,7,3,6,4
4,16,2,3,4
5,7,3,3,5
6,8,2,2,4
7,3,0,4,4
8,6,2,3,4
9,10,2,2,4
10,7,2,4,3
11,5,3,2,3
12,8,1,3,3
13,8,2,4,4
14,11,2,2,3
15,10,2,3,4
16,13,5,4,4
17,11,1,2,3
18,12,2,2,4
19,8,2,3,4
20,5,2,6,4
21,8,2,2,4
22,10,2,3,4
23,9,3,2,4
24,7,3,3,4
25,6,2,2,4
26,5,3,2,5
27,4,1,2,3
28,8,2,2,4
29,13,2,3,3
30,9,2,2,4
31,13,2,2,4
32,7,3,6,3
33,7,4,2,3
34,7,2,2,4
35,7,2,4,4
36,8,3,2,4
37,12,1,4,3
38,8,4,6,5
39,10,3,5,5
40,8,4,2,4
41,12,3,2,5
42,6,3,7,4
43,6,3,3,4
44,8,2,3,4
45,6,2,5,4
46,7,2,3,4
47,7,2,3,4
48,8,2,2,4
49,11,4,3,4
50,9,1,3,3
51,4,3,2,4
52,16,3,5,4
53,10,2,2,4
54,7,2,2,4
55,10,1,2,3
56,5,3,4,4
57,15,1,3,3
58,12,3,5,4
59,8,1,3,3
60,4,2,4,4
61,13,2,3,4
62,7,2,2,4
63,6,3,2,5
64,4,2,3,4
65,14,1,2,3
66,3,2,2,4
67,12,4,2,3
68,9,1,3,3
69,11,2,2,4
70,14,4,2,4
71,12,2,3,3
72,9,1,2,3
73,11,2,3,4
74,10,3,3,3
75,11,1,4,3
76,13,2,2,4
77,8,2,5,4
78,13,2,2,4
79,7,1,3,3
80,8,3,3,5
81,6,4,3,5
82,14,2,9,3
83,17,2,3,4
84,7,3,3,4
85,8,2,3,4
86,10,2,3,4
87,11,2,2,4
88,10,1,5,3
89,16,2,2,4
90,5,3,4,5
91,7,1,2,3
92,9,2,2,4
93,9,2,2,3
94,10,4,3,4
95,3,2,2,4
96,10,1,2,3
97,14,1,2,3
98,13,1,4,3
99,8,3,3,4
100,4,2,2,4
101,7,3,3,4
102,10,1,3,3
103,12,1,2,3
104,10,3,2,3
105,13,2,3,4
106,7,4,8,4
107,7,6,4,5
108,11,4,2,5
109,14,2,3,4
110,8,2,4,4
111,11,2,2,4
112,12,1,2,3
113,10,1,4,3
114,11,1,2,3
115,13,2,2,4
116,7,4,6,4
117,14,3,2,5
118,10,1,2,3
119,10,1,2,3
120,4,3,3,5
121,10,2,3,4
122,4,2,2,4
123,5,1,2,3
124,8,1,3,3
125,9,1,2,3
126,7,3,3,4
127,16,2,2,4
128,8,7,12,4
129,9,3,3,4
130,10,1,3,3
131,10,2,5,4
132,9,1,3,3
133,12,2,2,4
134,7,2,3,4
135,9,3,4,3
136,10,2,2,4
137,12,3,2,4
138,7,1,3,3
139,8,2,2,4
140,11,2,3,4
141,9,2,2,4
142,6,1,4,3
143,8,4,2,3
144,11,2,6,3
145,13,2,3,4
146,7,1,4,3
147,7,1,6,3
148,9,2,4,3
149,11,1,3,3
150,13,2,3,4
151,13,2,4,4
152,8,2,3,4
153,16,1,2,3
154,14,1,6,3
155,5,2,6,4
156,8,4,3,4
157,3,1,4,3
158,5,1,2,3
159,7,3,2,3
160,9,3,6,4
161,14,1,2,3
162,10,3,4,4
163,13,2,2,4
164,16,2,2,4
165,7,1,2,3
166,14,3,2,3
167,14,2,2,4
168,12,1,5,3
169,7,2,5,4
170,11,1,4,3
171,8,1,4,3
172,13,2,2,4
173,8,2,4,4
174,3,2,2,4
175,5,1,2,3
176,9,2,3,3
177,9,1,3,3
178,4,1,3,3
179,5,2,2,3
180,6,1,3,3
181,8,2,6,4
182,8,2,2,4
183,9,1,4,3
184,10,2,2,4
185,11,2,4,4
186,13,2,2,4
187,17,2,11,3
188,3,1,2,3
189,12,1,2,3
