,Correction,Forward,Successor,init
0,33,2,7,4
1,33,2,2,4
2,39,3,6,4
3,26,3,6,4
4,45,3,4,4
5,31,3,4,4
6,38,3,2,4
7,32,1,4,4
8,31,3,6,4
9,49,2,2,4
10,42,3,4,4
11,32,7,4,4
12,57,2,2,4
13,27,2,6,4
14,33,3,2,4
15,34,2,2,4
16,28,8,4,4
17,43,2,2,4
18,41,2,2,4
19,30,3,4,4
20,27,4,6,4
21,43,3,2,4
22,48,4,3,4
23,33,3,2,4
24,21,3,4,5
25,48,3,2,4
26,42,2,2,4
27,35,2,2,4
28,31,2,2,4
29,30,5,5,4
30,7,2,3,4
31,31,3,2,4
32,29,5,9,4
33,36,6,2,4
34,36,2,2,4
35,57,2,3,4
36,36,4,2,5
37,30,5,4,4
38,37,4,8,4
39,41,2,2,4
40,28,8,2,4
41,24,2,2,4
42,51,3,9,4
43,36,3,4,4
44,25,2,4,4
45,23,10,6,4
46,34,2,3,4
47,30,6,4,4
48,37,8,2,4
49,33,4,4,4
50,47,2,4,4
51,37,3,2,4
52,46,3,4,4
53,50,2,2,4
54,31,2,2,4
55,34,2,2,4
56,41,3,2,4
57,35,2,4,4
58,50,3,6,5
59,35,5,4,5
60,44,2,4,4
61,43,3,2,4
62,36,3,2,5
63,30,4,2,4
64,37,3,3,4
65,45,2,2,4
66,34,2,2,4
67,26,7,2,4
68,25,2,4,4
69,40,2,2,4
70,30,5,4,4
71,31,2,2,4
72,24,3,2,4
73,39,3,5,4
74,30,13,5,4
75,27,2,7,4
76,43,2,2,4
77,24,2,4,4
78,43,2,2,4
79,31,2,2,4
80,7,3,3,4
81,48,2,3,4
82,30,5,9,4
83,42,2,4,4
84,33,2,4,4
85,36,2,6,4
86,47,3,4,4
87,41,2,2,4
88,37,4,8,4
89,35,2,3,4
90,35,3,5,4
91,36,2,2,4
92,55,3,3,5
93,36,5,4,4
94,29,5,3,4
95,31,2,3,4
96,25,2,2,4
97,44,4,2,5
98,31,2,6,4
99,22,4,5,4
100,35,3,3,4
101,48,7,4,4
102,33,3,3,4
103,43,2,2,4
104,32,5,2,4
105,32,2,4,4
106,31,4,10,4
107,41,9,4,4
108,25,3,2,4
109,33,3,4,4
110,36,4,6,5
111,30,2,2,4
112,24,2,2,4
113,31,3,5,4
114,32,2,2,4
115,32,3,2,4
116,38,2,6,4
117,39,2,2,4
118,57,3,2,4
119,57,2,2,4
120,35,2,3,4
121,33,2,4,4
122,38,2,2,4
123,32,3,2,4
124,34,2,2,4
125,40,2,2,4
126,23,3,2,4
127,35,2,2,4
128,9,5,13,4
129,37,2,6,4
130,48,3,4,4
131,28,2,7,4
132,49,2,4,4
133,24,2,3,4
134,36,2,2,4
135,30,7,4,4
136,43,2,2,4
137,34,3,2,4
138,32,4,4,4
139,55,4,2,4
140,30,3,4,5
141,47,2,2,4
142,28,3,10,4
143,44,12,2,4
144,30,4,8,4
145,32,2,3,4
146,32,4,6,4
147,35,2,7,4
148,6,2,3,4
149,11,2,3,4
150,32,2,2,4
151,43,3,6,4
152,55,3,4,4
153,32,2,2,4
154,30,2,8,4
155,45,3,7,4
156,21,7,3,4
157,29,4,7,4
158,33,4,2,4
159,6,3,3,4
160,49,5,10,4
161,46,3,2,5
162,36,4,4,4
163,32,2,2,4
164,47,2,2,4
165,36,2,2,4
166,39,10,2,4
167,45,3,2,4
168,31,2,6,4
169,51,2,4,4
170,22,2,4,4
171,25,2,2,4
172,33,2,2,4
173,28,3,6,4
174,31,3,3,5
175,38,2,2,4
176,27,3,3,4
177,31,3,4,5
178,37,2,4,4
179,39,2,2,4
180,31,3,4,4
181,35,2,8,4
182,44,2,2,4
183,39,3,5,4
184,58,3,3,4
185,23,3,4,4
186,43,2,2,4
187,32,4,12,4
188,33,3,2,4
189,42,2,2,4
190,22,2,8,4
191,35,6,2,4
192,35,4,2,5
193,32,3,2,4
194,32,2,2,4
195,5,3,6,4
196,34,3,2,4
197,8,2,2,4
198,50,2,2,4
199,44,2,2,4
200,40,5,4,4
201,30,2,2,4
202,35,0,4,4
203,42,2,2,4
204,48,2,2,4
205,24,2,2,4
206,56,4,4,4
207,35,2,2,4
208,32,3,2,5
209,32,3,9,4
210,40,2,4,4
211,58,2,2,4
212,25,3,7,4
213,37,2,2,4
214,33,2,2,4
215,41,7,4,6
216,41,0,8,4
217,23,2,2,4
218,43,2,2,4
219,31,2,4,4
