,Correction,Forward,Successor,init
0,1,1,4,3
1,2,1,2,3
2,2,2,4,4
3,2,2,5,3
4,6,1,4,3
5,2,1,3,3
6,0,1,2,3
7,0,0,3,3
8,2,1,2,3
9,2,1,2,3
10,2,3,4,3
11,0,2,2,3
12,1,1,4,3
13,1,1,5,3
14,3,2,2,4
15,2,2,2,4
16,6,1,3,3
17,1,1,2,3
18,2,1,2,3
19,2,1,3,3
20,1,1,5,3
21,2,1,2,3
22,2,1,3,3
23,1,1,2,3
24,1,2,3,3
25,2,1,2,3
26,2,1,2,3
27,0,1,2,3
28,2,1,2,3
29,4,1,2,3
30,2,1,5,3
31,3,2,3,3
32,1,2,5,3
33,1,1,2,3
34,1,2,2,4
35,1,1,4,3
36,1,2,2,4
37,4,1,4,3
38,1,1,4,3
39,0,2,6,4
40,2,1,2,3
41,4,1,2,3
42,2,1,5,3
43,0,1,3,3
44,0,1,3,3
45,5,1,7,3
46,1,1,3,3
47,2,1,3,3
48,0,1,2,3
49,2,1,3,3
50,2,2,3,3
51,0,1,2,3
52,6,1,3,3
53,2,1,2,3
54,2,1,3,3
55,2,1,2,3
56,2,1,2,3
57,4,1,3,3
58,2,1,4,3
59,0,1,3,3
60,1,2,6,3
61,4,1,2,3
62,1,1,4,3
63,0,1,2,3
64,0,2,3,3
65,4,1,2,3
66,0,1,6,3
67,5,2,2,3
68,1,1,4,3
69,1,1,2,3
70,0,2,2,3
71,6,1,5,3
72,3,2,2,4
73,1,1,3,3
74,0,1,3,3
75,5,1,12,3
76,4,2,2,4
77,2,1,4,3
78,3,1,3,3
79,2,1,2,3
80,2,2,3,4
81,1,2,4,3
82,0,3,6,3
83,0,1,3,3
84,1,2,3,4
85,0,1,3,3
86,2,1,3,3
87,1,1,2,3
88,4,2,5,3
89,4,1,2,3
90,0,1,3,3
91,1,1,2,3
92,1,2,2,4
93,0,1,5,3
94,1,1,2,3
95,0,1,2,3
96,4,1,2,3
97,4,1,2,3
98,1,1,5,3
99,3,2,2,3
100,0,1,2,3
101,2,1,2,3
102,0,1,3,3
103,2,1,3,3
104,2,1,2,3
105,3,2,2,3
106,1,3,7,5
107,2,1,3,3
108,4,2,2,3
109,1,1,3,3
110,0,1,4,3
111,1,1,2,3
112,5,1,4,3
113,0,1,3,3
114,2,2,2,4
115,2,1,3,3
116,1,1,4,3
117,6,1,2,3
118,2,1,2,3
119,2,1,2,3
120,0,1,3,3
121,0,1,3,3
122,0,1,3,3
123,0,1,2,3
124,1,1,3,3
125,1,1,2,3
126,2,1,3,3
127,6,1,2,3
128,3,1,10,3
129,5,1,4,3
130,2,2,6,4
131,2,1,4,3
132,1,1,2,3
133,4,2,2,3
134,1,1,2,3
135,2,1,5,3
136,1,1,2,3
137,3,1,2,3
138,1,1,3,3
139,2,2,2,4
