,Correction,Forward,Successor,init
0,214,10,6,12
1,211,4,2,6
2,205,8,3,11
3,207,7,2,8
4,203,4,10,6
5,198,8,9,10
6,200,8,11,10
7,222,5,2,7
8,210,6,11,7
9,206,6,3,9
10,194,9,11,11
11,213,6,2,8
12,200,6,2,8
13,211,4,2,6
14,213,7,2,9
15,208,5,10,7
16,202,5,6,6
17,214,5,3,7
18,213,4,2,6
19,208,9,14,10
20,221,6,6,8
21,195,5,2,7
22,206,8,3,10
23,213,5,17,8
24,206,6,13,8
25,196,5,7,7
26,206,5,5,10
27,213,10,2,12
28,209,9,2,11
29,200,10,18,12
30,219,9,3,12
31,219,10,3,13
32,193,6,27,8
33,201,6,3,9
34,203,7,3,10
35,198,5,14,7
36,199,10,6,12
37,214,7,3,10
38,199,5,13,8
39,214,4,2,6
40,210,5,2,7
41,196,9,2,11
42,196,5,40,6
43,215,5,7,7
44,218,6,12,8
45,198,4,3,6
46,198,4,6,6
47,208,11,2,12
48,211,5,7,7
49,208,4,10,6
50,198,9,7,11
51,218,8,2,10
52,202,6,10,8
53,206,7,3,10
54,212,9,2,11
55,209,4,2,6
56,207,3,12,7
57,200,9,10,11
58,198,8,10,10
59,210,5,15,7
60,201,4,25,6
61,209,4,2,6
62,206,9,3,12
63,220,7,2,9
64,216,5,7,7
65,208,8,2,10
66,223,9,2,11
67,203,5,2,7
68,217,8,7,9
69,196,4,2,6
70,213,5,2,7
71,199,6,14,8
72,204,6,3,8
73,194,5,9,7
74,215,5,2,6
75,207,8,14,10
76,208,5,10,6
77,207,5,2,7
78,211,4,2,6
79,210,7,2,9
80,215,5,7,7
81,196,4,9,6
82,211,6,67,8
83,210,4,8,7
84,212,5,2,7
85,212,9,12,12
86,203,4,17,7
87,195,4,2,6
88,202,9,27,11
89,201,8,2,10
90,215,4,23,6
91,200,7,2,9
92,201,4,2,6
93,201,9,8,10
94,209,4,10,6
95,223,4,9,6
96,204,9,2,11
97,207,5,12,7
98,212,6,50,8
99,203,10,16,11
100,210,9,9,11
101,196,5,11,5
102,218,9,27,10
103,212,5,2,7
104,209,5,3,6
105,217,9,6,9
106,222,5,2,7
107,205,4,20,7
108,203,9,11,11
