,Correction,Forward,Successor,init
0,206,9,19,11
1,196,5,2,7
2,205,7,2,9
3,191,9,2,11
4,187,5,7,7
5,181,7,10,9
6,198,9,2,10
7,215,5,2,7
8,194,7,10,7
9,208,5,2,7
10,178,5,12,7
11,205,4,2,6
12,184,6,2,8
13,203,5,13,7
14,210,8,2,10
15,202,5,8,7
16,191,4,7,6
17,211,6,2,8
18,199,5,2,7
19,200,10,14,10
20,217,7,8,9
21,179,5,2,7
22,208,8,2,9
23,212,7,13,8
24,192,7,15,9
25,182,5,8,7
26,210,4,2,6
27,207,8,2,10
28,201,6,2,8
29,186,7,12,9
30,216,9,2,11
31,213,5,2,7
32,176,6,24,8
33,199,5,2,7
34,203,7,2,9
35,182,7,15,9
36,183,7,6,9
37,211,6,2,8
38,198,5,7,7
39,200,5,2,7
40,203,6,2,7
41,182,5,2,7
42,183,7,36,6
43,210,6,9,8
44,203,6,9,8
45,182,4,2,6
46,181,8,6,8
47,189,11,12,11
48,205,5,2,7
49,200,6,17,7
50,180,8,8,10
51,211,7,2,9
52,186,4,10,6
53,207,7,2,9
54,204,5,2,7
55,203,5,2,7
56,209,3,11,5
57,185,9,8,10
58,181,8,2,10
59,206,6,8,7
60,200,7,24,7
61,194,4,2,6
62,204,9,2,11
63,214,5,2,7
64,208,6,8,8
65,193,6,2,8
66,217,7,2,9
67,192,7,2,6
68,203,6,6,8
69,179,4,2,6
70,202,7,12,8
71,186,7,16,9
72,192,8,2,10
73,177,5,8,7
74,203,6,16,7
75,192,6,13,8
76,194,5,10,7
77,192,5,7,7
78,197,4,2,6
79,202,6,2,8
80,215,5,10,7
81,181,6,10,7
82,205,7,64,8
83,204,5,7,7
84,204,6,3,8
85,207,5,11,7
86,207,7,6,7
87,178,4,2,6
88,187,7,27,9
89,187,8,2,10
90,209,5,19,7
91,184,7,2,9
92,188,5,2,7
93,200,8,2,10
94,200,5,28,6
95,216,6,9,8
96,191,8,2,10
97,192,8,9,8
98,201,6,28,8
99,189,8,17,10
100,204,7,11,9
101,182,7,13,7
102,203,9,11,10
103,198,4,2,6
104,195,5,2,6
105,212,6,7,8
106,217,6,2,8
107,209,6,6,7
108,192,9,6,11
109,201,5,16,7
110,205,7,6,9
111,202,8,2,10
112,183,8,2,10
113,202,9,16,11
114,201,7,16,9
115,213,6,2,8
116,196,7,26,8
117,190,4,2,6
118,182,6,2,8
119,183,6,2,8
120,205,9,8,11
121,203,8,2,10
122,209,6,2,8
123,214,4,2,6
124,204,7,2,8
125,204,8,2,10
126,192,8,2,9
127,190,4,2,6
128,217,6,10,8
129,188,4,22,6
130,190,7,6,8
131,202,8,11,10
132,194,5,10,7
133,180,8,2,10
134,183,7,10,9
135,194,4,28,6
136,212,5,2,7
137,209,8,16,10
138,183,8,19,10
139,184,4,2,6
140,204,6,8,8
141,180,8,2,10
142,216,6,10,8
143,178,7,14,9
144,210,8,38,10
145,190,6,6,8
146,204,5,28,7
147,203,10,12,11
148,214,8,9,9
149,217,6,7,8
150,190,5,2,7
151,186,4,11,6
152,185,6,7,8
153,193,6,2,8
154,188,5,21,7
155,196,6,23,7
156,181,5,7,6
157,219,7,2,8
158,213,6,2,7
159,214,5,2,7
160,190,6,2,8
161,189,6,2,8
162,210,7,18,8
163,214,6,2,8
164,187,4,2,6
165,202,9,15,11
166,189,6,2,6
167,190,6,2,8
168,190,5,26,7
169,184,8,12,9
170,177,5,32,7
171,193,9,2,11
172,211,6,2,8
173,202,7,23,9
174,216,5,2,7
175,210,6,2,8
176,193,4,11,6
177,195,5,10,7
178,209,6,9,8
179,210,4,3,6
180,192,10,13,11
181,199,7,3,9
182,178,5,2,7
183,189,9,26,11
184,180,9,9,9
185,185,8,2,10
186,195,5,2,7
187,188,6,36,7
188,217,9,8,11
189,203,6,3,7
190,190,10,24,11
191,211,5,2,6
192,196,4,2,6
193,186,5,19,7
194,203,7,2,9
195,218,7,8,9
196,202,5,2,6
197,213,5,2,7
198,184,9,2,11
199,193,5,2,7
200,194,8,15,8
201,192,7,2,9
202,204,0,27,11
203,198,5,2,7
204,208,6,2,8
205,181,8,6,10
206,182,6,7,8
207,205,5,2,7
208,189,6,2,7
209,185,8,2,10
210,203,4,11,6
211,181,7,2,9
212,196,5,2,7
213,208,8,2,10
214,218,8,2,10
215,203,6,8,7
216,204,0,37,11
217,194,6,2,8
218,213,6,2,7
219,187,6,2,8
220,206,6,8,8
221,192,5,2,7
222,216,7,2,9
223,208,6,2,8
224,216,8,7,10
225,196,7,2,8
226,189,10,15,11
227,215,8,2,10
228,204,6,2,8
229,190,9,2,11
230,197,5,2,7
231,184,6,5,8
232,212,9,2,11
233,203,6,2,8
234,210,4,17,6
235,183,8,21,10
236,191,6,2,8
237,193,5,2,7
238,216,8,9,9
239,193,5,11,7
240,211,9,2,11
241,199,8,20,10
242,204,6,8,6
243,178,5,2,7
244,181,8,2,10
245,211,5,2,7
246,184,8,10,10
247,183,9,2,11
248,189,4,2,6
249,206,6,22,8
250,181,4,14,6
251,203,5,3,7
252,197,5,9,7
253,215,8,2,10
254,214,7,27,8
255,189,5,2,7
256,205,8,2,10
257,193,7,10,9
258,201,3,2,5
259,217,7,2,9
260,214,5,7,7
261,191,7,9,9
262,203,8,2,8
263,210,6,19,8
264,206,7,2,9
265,188,6,2,8
266,190,9,2,11
267,188,4,7,6
268,197,6,8,8
269,203,7,3,9
270,208,6,2,8
271,211,7,45,9
272,185,7,2,9
273,212,6,7,8
274,184,4,41,6
275,210,7,13,8
276,217,9,29,10
277,203,8,18,10
278,204,5,13,7
279,203,5,3,7
280,215,7,2,9
281,192,5,8,7
282,179,8,2,10
283,192,5,2,7
284,191,8,2,10
285,215,9,9,11
286,205,8,2,10
287,193,6,2,8
288,193,5,7,7
289,195,5,11,7
290,207,5,2,7
291,198,4,2,6
292,202,7,15,9
293,196,5,2,7
294,201,4,9,6
295,181,6,6,8
296,216,10,8,11
297,188,7,15,8
298,204,6,11,8
299,218,9,2,10
300,195,5,2,7
301,206,7,2,9
302,195,5,2,7
303,214,9,9,11
304,216,7,2,9
305,185,9,2,11
306,214,4,7,6
307,189,9,2,11
308,212,6,26,7
309,180,8,47,8
310,215,5,2,7
311,212,6,2,8
312,195,5,2,6
313,180,8,11,9
314,201,4,7,6
315,203,8,2,9
316,202,5,2,7
317,197,9,2,10
318,181,4,2,6
319,191,8,2,10
320,194,5,21,7
321,195,5,6,7
322,186,3,2,5
323,181,6,2,8
