,Correction,Forward,Successor,init
0,113,4,12,6
1,107,2,2,4
2,101,5,2,6
3,112,2,3,4
4,115,5,5,5
5,108,3,6,4
6,100,5,2,6
7,95,4,2,6
8,103,6,10,6
9,112,4,2,6
10,109,2,10,4
11,117,4,2,6
12,119,4,2,6
13,112,5,10,6
14,95,4,2,6
15,120,4,2,6
16,107,13,6,6
17,73,2,2,4
18,118,2,2,4
19,112,3,5,4
20,92,2,6,4
21,110,5,2,6
22,110,5,2,6
23,72,5,3,6
24,97,5,6,7
25,108,3,2,4
26,106,4,2,6
27,116,2,2,4
28,113,2,2,4
29,113,8,6,6
30,71,2,2,4
31,92,4,2,6
32,101,7,18,6
33,98,4,2,4
34,95,4,2,6
35,120,5,4,7
36,113,6,2,7
37,91,6,10,6
38,100,2,6,4
39,117,4,6,6
40,115,9,2,6
41,108,3,2,5
42,113,9,14,6
43,115,5,6,6
44,108,2,6,4
45,114,4,2,6
46,109,5,6,7
47,102,8,6,6
48,99,10,2,6
49,119,7,6,6
50,109,4,6,6
51,117,6,2,6
52,122,5,6,4
53,111,4,2,6
54,113,2,2,4
55,120,4,2,6
56,104,3,6,4
57,116,4,6,6
58,112,5,11,6
59,95,7,6,6
60,102,7,11,6
61,116,4,2,6
62,95,2,2,4
63,94,6,2,4
64,117,5,4,6
65,117,4,2,6
66,97,2,3,4
67,104,11,2,6
68,111,4,6,6
69,114,5,2,7
70,115,8,6,6
71,112,4,6,6
72,100,3,2,4
73,111,7,6,6
74,106,15,8,6
75,112,4,10,6
76,116,4,3,6
77,98,4,6,6
78,118,4,2,6
79,113,2,2,4
80,70,7,2,6
81,107,2,6,4
82,91,7,15,6
83,104,4,6,6
84,115,2,6,4
85,94,4,13,6
86,110,5,6,6
87,114,4,2,6
88,109,7,14,6
89,118,2,2,4
90,112,6,11,6
91,112,2,2,4
92,122,2,2,4
93,101,9,2,6
94,112,7,6,6
95,91,5,9,6
96,103,4,2,6
97,116,5,2,6
98,108,7,15,7
99,98,7,8,6
100,116,5,2,6
101,108,10,6,6
102,108,3,3,4
103,118,4,2,6
104,106,5,2,4
105,97,2,6,4
106,84,6,21,6
107,105,10,6,6
108,102,6,2,6
109,118,6,8,7
110,93,6,21,6
111,113,4,3,6
112,108,3,2,5
113,106,5,6,6
114,113,4,6,6
115,96,4,3,5
116,97,5,9,6
117,108,2,2,4
118,121,5,3,6
119,121,2,2,4
120,115,3,7,4
121,108,5,6,7
122,118,4,2,6
123,95,5,2,6
124,116,4,2,6
125,102,4,2,6
126,98,6,2,6
127,117,2,3,4
128,76,5,3,6
129,107,4,11,6
130,108,5,6,6
131,111,2,8,4
132,111,4,2,6
133,108,2,2,4
134,112,4,3,6
135,104,9,6,6
136,73,2,2,4
137,93,5,6,6
138,107,7,6,6
139,115,6,2,6
140,112,2,6,4
141,109,2,2,4
142,90,6,22,7
143,103,17,6,6
144,90,4,9,6
145,112,4,4,4
146,112,6,8,6
147,93,4,12,6
148,69,3,3,4
149,73,4,6,6
150,115,4,2,6
151,114,3,10,4
152,118,4,6,6
153,114,2,2,4
154,111,4,14,6
155,106,5,6,6
156,103,8,6,6
157,90,10,16,6
158,96,4,2,4
159,72,6,6,6
160,111,7,18,6
161,118,2,2,4
162,89,7,6,6
163,96,2,2,4
164,124,2,2,4
165,95,4,2,6
166,108,11,3,4
167,118,2,2,4
168,111,4,10,6
169,106,4,10,6
170,100,4,14,6
171,102,4,2,6
172,98,4,2,6
173,108,3,14,4
174,95,2,2,4
175,119,4,2,6
176,101,4,4,6
177,104,4,8,6
178,117,4,6,6
179,118,2,2,4
180,104,2,6,4
181,96,5,13,6
182,111,2,3,4
183,108,5,11,6
184,123,2,2,4
185,106,4,2,4
186,118,4,2,6
187,113,4,16,4
188,96,5,6,6
189,119,5,2,6
190,99,4,14,6
191,98,10,2,6
192,111,4,2,6
193,112,5,6,4
194,115,2,2,4
195,68,5,7,7
196,120,5,2,6
197,75,5,2,6
198,108,4,2,6
199,116,4,2,6
200,103,8,6,7
201,114,2,2,4
202,116,0,8,6
203,101,4,2,6
204,112,2,2,4
205,108,4,2,6
206,116,5,6,4
207,117,5,2,7
208,115,5,2,6
209,111,2,2,4
210,117,4,6,6
211,123,2,2,4
212,99,4,12,6
213,97,4,2,6
214,99,3,2,5
215,118,7,6,6
216,102,1,18,6
217,98,4,2,6
218,73,2,2,4
219,113,7,6,6
220,110,2,5,4
221,111,3,2,5
222,75,3,2,4
223,116,2,2,4
224,90,7,6,6
225,101,7,2,6
226,109,5,6,6
227,68,4,6,6
228,109,2,2,4
229,111,2,2,4
230,101,4,2,6
231,111,3,2,4
232,92,4,2,6
233,113,2,2,4
234,89,10,7,6
235,106,3,15,4
236,117,5,2,6
237,102,4,2,6
238,91,7,6,6
239,110,4,6,6
240,92,2,2,4
241,98,5,10,6
242,113,6,6,4
243,109,8,2,6
244,108,2,2,4
245,96,5,2,4
246,103,3,10,4
247,108,5,2,6
248,115,4,5,6
249,109,4,7,6
250,104,12,8,6
251,95,4,2,6
252,97,3,10,4
253,91,5,2,6
254,74,8,19,6
255,115,4,14,6
256,118,2,2,4
257,114,4,2,6
258,95,7,2,6
259,74,3,2,4
260,94,4,6,6
261,112,2,6,4
262,114,3,2,4
263,90,5,14,4
264,97,6,10,6
