,Correction,Forward,Successor,init
0,185,7,14,9
1,152,6,2,8
2,226,8,2,10
3,150,6,2,8
4,150,6,10,7
5,188,5,10,7
6,215,8,2,10
7,198,5,2,7
8,150,10,10,10
9,232,5,2,7
10,213,5,14,7
11,180,5,2,7
12,210,6,2,8
13,173,5,10,7
14,215,8,2,10
15,170,4,7,6
16,166,8,7,7
17,199,4,2,6
18,162,7,2,9
19,172,9,9,9
20,200,7,7,9
21,215,8,2,10
22,232,7,2,8
23,200,7,10,8
24,149,5,13,7
25,199,6,8,8
26,235,4,2,6
27,186,6,2,8
28,174,6,2,8
29,174,6,17,7
30,211,8,2,10
31,214,5,2,7
32,185,6,29,7
33,220,4,2,6
34,222,5,2,7
35,210,6,7,8
36,193,6,2,8
37,215,9,2,10
38,217,6,8,7
39,163,5,2,7
40,172,7,2,6
41,176,5,2,7
42,203,8,33,7
43,191,7,7,7
44,165,6,7,8
45,185,10,2,11
46,189,6,6,8
47,149,11,7,10
48,220,5,2,6
49,167,7,16,7
50,213,8,7,10
51,192,6,2,7
52,149,5,10,6
53,231,5,2,7
54,177,6,2,8
55,172,4,2,6
56,235,4,10,6
57,176,8,11,10
58,213,6,2,8
59,220,6,7,6
60,229,9,21,10
61,155,5,2,7
62,225,5,2,7
63,199,8,2,8
64,187,6,7,8
65,152,5,2,7
66,199,8,2,10
67,162,12,2,10
68,167,6,7,8
69,186,5,2,7
70,167,7,6,7
71,173,5,14,7
72,151,5,2,7
73,186,8,10,8
74,164,8,11,6
75,149,6,10,8
76,155,5,7,7
77,150,5,7,7
78,160,4,2,6
79,175,6,2,8
80,203,7,7,8
81,198,5,10,7
82,214,11,61,7
83,218,5,7,7
84,179,5,2,7
85,219,5,31,7
86,232,7,7,7
87,186,5,2,7
88,149,9,14,10
89,177,5,2,7
90,190,6,16,8
91,193,5,2,7
92,211,5,2,7
93,218,10,2,10
94,169,6,23,6
95,200,5,8,7
96,156,7,2,8
97,153,5,2,7
98,165,5,22,7
99,152,7,10,7
100,184,8,9,10
101,198,10,13,10
102,164,9,7,9
103,161,5,2,7
104,152,10,2,7
105,219,6,8,8
106,202,8,2,10
107,234,8,7,6
108,161,9,6,10
109,167,5,14,7
110,220,9,2,10
111,173,7,2,9
112,176,6,2,8
113,163,6,16,7
114,172,7,7,9
115,221,5,2,7
116,216,5,23,7
117,148,4,2,6
118,211,5,2,7
119,211,5,2,7
120,181,9,7,10
121,163,8,2,9
122,189,5,2,7
123,197,5,2,6
124,178,8,2,8
125,225,9,2,10
126,151,5,2,7
127,169,5,2,7
128,214,4,10,6
129,145,4,20,6
130,224,6,7,7
131,171,7,14,9
132,225,8,3,10
133,176,5,2,7
134,193,6,2,8
135,149,8,17,10
136,200,5,2,7
137,214,8,15,10
138,190,6,12,7
139,202,9,2,10
140,168,6,8,8
141,214,5,2,7
142,196,8,30,10
143,212,9,18,7
144,212,8,24,10
145,170,6,6,7
146,176,6,21,7
147,225,8,25,10
148,210,10,2,10
149,212,7,8,8
150,172,6,2,8
151,150,4,14,6
152,209,5,10,7
153,150,6,2,8
154,168,6,22,8
155,226,8,19,10
156,178,10,7,10
157,200,9,2,10
158,196,5,2,6
159,202,4,2,6
160,224,5,2,7
161,150,5,2,7
162,198,5,14,7
163,222,7,2,9
164,151,4,2,6
165,226,8,2,10
166,147,7,2,6
167,151,5,2,7
168,146,7,21,9
169,196,9,16,10
170,174,8,26,10
171,159,10,2,10
172,218,7,2,9
173,175,7,19,8
174,199,5,2,7
175,191,6,2,8
176,152,5,14,7
177,150,8,11,10
178,189,6,8,8
179,194,4,2,6
180,151,6,14,7
181,215,8,23,10
182,215,5,2,7
183,147,8,20,10
184,211,7,2,7
185,175,6,2,7
186,158,4,2,6
187,144,8,35,8
188,199,9,7,10
189,168,5,2,6
190,156,5,22,7
191,195,6,2,6
192,152,8,2,10
193,170,6,16,7
194,174,8,2,10
195,209,6,23,8
196,170,5,2,6
197,201,4,3,6
198,198,5,2,7
199,154,6,2,8
200,214,6,15,7
201,149,7,2,9
202,179,0,24,10
203,218,4,2,6
204,234,5,2,7
205,176,8,7,10
206,209,6,10,7
207,179,5,2,7
208,172,8,2,10
209,197,5,2,7
210,167,4,10,6
211,211,5,2,7
212,147,5,33,7
213,222,8,2,10
214,200,8,2,10
215,168,7,7,7
216,230,1,41,10
217,151,5,2,7
218,201,6,2,7
219,172,9,2,10
220,230,7,8,9
221,223,5,2,7
222,213,6,2,8
223,187,6,2,8
224,201,7,8,8
225,216,6,2,7
226,148,5,13,7
227,209,8,2,10
228,166,7,2,9
229,148,8,2,10
230,217,5,2,7
231,193,5,2,7
232,213,6,2,8
233,176,6,2,8
234,211,5,17,6
235,193,6,20,7
236,150,7,3,8
237,150,5,2,7
238,202,8,9,8
239,223,8,10,10
240,212,5,2,7
241,216,9,13,10
242,180,7,12,6
243,214,10,2,11
244,176,5,2,7
245,213,4,2,6
246,172,6,18,7
247,198,8,2,10
248,169,8,7,10
249,229,7,18,9
250,181,10,14,10
251,224,8,2,10
252,217,5,11,6
253,214,6,2,7
254,211,8,23,7
255,147,5,2,7
256,181,8,2,10
257,150,6,2,8
258,221,6,2,6
259,214,6,2,8
260,197,5,7,7
261,148,7,11,9
262,175,6,2,8
263,212,8,20,7
264,225,8,12,10
265,171,6,10,8
266,151,5,3,7
267,149,6,7,6
268,214,11,8,11
269,223,5,2,7
270,187,6,2,8
271,196,7,37,8
272,198,5,2,7
273,198,5,7,7
274,145,5,31,7
275,213,8,15,9
276,198,9,26,10
277,212,9,56,10
278,218,7,12,7
279,166,8,2,10
280,200,6,2,8
281,223,6,8,8
282,214,5,2,7
283,151,6,2,8
284,149,9,2,9
285,209,8,7,10
286,185,7,2,9
287,151,5,2,7
288,150,8,10,10
289,225,8,7,10
290,221,5,2,7
291,219,4,2,6
292,162,8,14,10
293,159,5,2,7
294,165,6,10,8
295,212,5,7,7
296,195,8,12,7
297,148,9,14,8
298,178,6,11,8
299,212,7,2,9
300,226,5,2,7
301,185,8,2,9
302,150,7,2,9
303,208,8,8,10
304,211,8,2,10
305,178,6,2,8
306,202,4,7,6
307,147,8,2,10
308,213,7,24,7
309,217,7,40,7
310,214,5,2,6
311,219,6,2,8
312,152,6,2,7
313,210,10,16,10
314,165,5,10,6
